t_chr,x_opt,y
2600,0.01564,6451950.687390254
2550,0.01562,6451950.687390254
2500,0.01559,6451950.687390254
2450,0.015571754589061853,6451950.687390254
2400,0.015745610068201587,6197482.460698033
2350,0.01599138402841411,5947701.391618349
2300,0.016256677223224634,5702648.63616226
2250,0.016585003552802177,5462400.670839554
2200,0.016849906753140083,5226970.8291864935
2150,0.017163965864924344,4996427.988866718
2100,0.017434873801408287,4770814.045550596
2050,0.01768650804004632,4550149.76082834
2000,0.01798381535786539,4334501.163026635
1950,0.018244488800845123,4123876.6582388794
1900,0.01857072397360221,3918318.02899313
1850,0.01891458278358025,3717862.479566478
1800,0.01931253841200982,3522538.5660543037
1750,0.019709687193494484,3332368.103174526
1700,0.02012229438873964,3147369.9524296513
1650,0.020496883430770038,2967556.7932812073
1600,0.020858655436891835,2792935.748913732
1550,0.021300583166675307,2623523.6336761015
1500,0.021780239294083504,2459340.4677253813
1450,0.022309625765504756,2300397.956327198
1400,0.022844136633320956,2146704.3628375176
1350,0.023424076196607527,1998263.28221161
1300,0.023948800207266887,1855076.6798797096
1250,0.02456378701108067,1717149.6013939388
1200,0.025251999170021768,1584493.037444496
1150,0.025970837779526485,1457114.844058786
1100,0.02666198590933177,1335020.3098147172
1050,0.027595236415894675,1218219.625839979
1000,0.028459962665340375,1106690.2961509917
950,0.029468143901217055,1000454.5512497028
900,0.030553514344472246,899519.7497913046
850,0.0317312468059753,803890.677663369
800,0.032786667021635636,713574.3443826427
750,0.03444320716954128,628581.9986005155
700,0.03604479674419088,548902.2210259218
650,0.03772878125759367,474555.7422691617
600,0.03988124014783679,405562.12991617515
550,0.04225148574362008,341903.4014730714
500,0.04495736770935152,283618.5093030249
450,0.048169548020250384,230692.34915872908
400,0.05200206557978777,183164.091835663
350,0.05678263992803234,141024.25815037044
300,0.06275390110637416,104316.80401843351
250,0.07064853503714108,73051.43211734675
200,0.08162253468723255,47256.94829934542
150,0.09523721651237368,26966.510148470177
100,0.12756012326620422,12248.44717328617
95,0.13162741909742123,11087.772556410599
90,0.1360414666363674,9983.473611001631
85,0.1417278033654288,8926.855600853041
80,0.147068374954429,7936.3120016048915
75,0.15295236767946493,7002.552988539877
70,0.1594758097419207,6125.734347346295
65,0.1666626448457833,5297.449080861072
60,0.17668204800909043,4535.550175072009
55,0.18621076584626142,3831.3012838057066
50,0.1971694394831866,3184.8132298543665
45,0.20993846405836497,2596.3546715900034
40,0.2250532633294418,2066.2340418537733
35,0.2487218064633894,1586.920198619054
30,0.27290992267137204,1175.2073870406325
25,0.30433114845446796,823.1355127288148
20,0.3473958282184392,531.3499905010354
15,0.41162111340203345,300.68629076457853
10,0.5243514859675414,132.23701230680945
5,0.8358041858099494,26.236678787899464